"Enriched_in"	"Ontology_type"	"Ontology_accession"	"Ongology_description"	"Count_query"	"Count_universe"	"%_query"	"%_universe"	"pval"	"adjpval"	"fold_change"	"Proteins_in_query"
"618"	"up_WTG0_vs_ASG0"	"GO"	"4449"	"isocitrate dehydrogenase (NAD+) activity "	"2/263"	"3/2150"	0.760456273764259	0.13953488372093	0.0947042484704593	1	5.44993662864385	"IDHG1_MOUSE;Q91VA7_MOUSE"
"757"	"up_WTG0_vs_ASG0"	"GO"	"33512"	"L-lysine catabolic process to acetyl-CoA via saccharopine "	"2/263"	"3/2150"	0.760456273764259	0.13953488372093	0.0947042484704593	1	5.44993662864385	"AADAT_MOUSE;AASS_MOUSE"
"817"	"up_WTG0_vs_ASG0"	"GO"	"2082"	"regulation of oxidative phosphorylation "	"2/263"	"3/2150"	0.760456273764259	0.13953488372093	0.0947042484704593	1	5.44993662864385	"KAD4_MOUSE;GLYM_MOUSE"
"871"	"up_WTG0_vs_ASG0"	"GO"	"51702"	"interaction with symbiont "	"2/263"	"3/2150"	0.760456273764259	0.13953488372093	0.0947042484704593	1	5.44993662864385	"GPX1_MOUSE;CH60_MOUSE"
"917"	"up_WTG0_vs_ASG0"	"GO"	"70129"	"regulation of mitochondrial translation "	"2/263"	"3/2150"	0.760456273764259	0.13953488372093	0.0947042484704593	1	5.44993662864385	"GLYM_MOUSE;EFTS_MOUSE"
"948"	"up_WTG0_vs_ASG0"	"GO"	"45259"	"proton-transporting ATP synthase complex "	"2/263"	"3/2150"	0.760456273764259	0.13953488372093	0.0947042484704593	1	5.44993662864385	"ATPA_MOUSE;ATPB_MOUSE"
"969"	"up_WTG0_vs_ASG0"	"GO"	"4466"	"long-chain-acyl-CoA dehydrogenase activity "	"2/263"	"3/2150"	0.760456273764259	0.13953488372093	0.0947042484704593	1	5.44993662864385	"ACADV_MOUSE;A0A0R4J083_MOUSE"
"1022"	"up_WTG0_vs_ASG0"	"GO"	"1657"	"ureteric bud development "	"2/263"	"3/2150"	0.760456273764259	0.13953488372093	0.0947042484704593	1	5.44993662864385	"GSTA3_MOUSE;CATA_MOUSE"
"1050"	"up_WTG0_vs_ASG0"	"GO"	"30317"	"flagellated sperm motility "	"2/263"	"3/2150"	0.760456273764259	0.13953488372093	0.0947042484704593	1	5.44993662864385	"DHSO_MOUSE;SLIRP_MOUSE"
"1087"	"up_WTG0_vs_ASG0"	"GO"	"4165"	"dodecenoyl-CoA delta-isomerase activity "	"2/263"	"3/2150"	0.760456273764259	0.13953488372093	0.0947042484704593	1	5.44993662864385	"ECI1_MOUSE;ECHP_MOUSE"
"1126"	"up_WTG0_vs_ASG0"	"GO"	"6091"	"generation of precursor metabolites and energy "	"2/263"	"3/2150"	0.760456273764259	0.13953488372093	0.0947042484704593	1	5.44993662864385	"ACOX1_MOUSE;AASS_MOUSE"
"1128"	"up_WTG0_vs_ASG0"	"GO"	"6693"	"prostaglandin metabolic process "	"2/263"	"3/2150"	0.760456273764259	0.13953488372093	0.0947042484704593	1	5.44993662864385	"ACOX1_MOUSE;Q91YH6_MOUSE"
"1180"	"up_WTG0_vs_ASG0"	"GO"	"2755"	"MyD88-dependent toll-like receptor signaling pathway "	"2/263"	"3/2150"	0.760456273764259	0.13953488372093	0.0947042484704593	1	5.44993662864385	"CH60_MOUSE;A0A0A6YVY4_MOUSE"
"1999"	"up_WTG0_vs_ASG0"	"KEGG"	"path:mmu01100"	"Metabolic pathways - Mus musculus (mouse)"	"125/263"	"336/2150"	47.5285171102662	15.6279069767442	2.87752646199076e-29	4.51771654532549e-27	3.04125927937715	"XYLB_MOUSE;MMSA_MOUSE;GLYAT_MOUSE;GLYM_MOUSE;C1TC_MOUSE;ARLY_MOUSE;CX6B1_MOUSE;THIL_MOUSE;PCCA_MOUSE;Q91YH6_MOUSE;A0A0R4J083_MOUSE;ACADM_MOUSE;ACADV_MOUSE;ACADS_MOUSE;ACON_MOUSE;ACOX1_MOUSE;KAD2_MOUSE;KAD4_MOUSE;ACSM1_MOUSE;ATPA_MOUSE;ATPB_MOUSE;VATB2_MOUSE;VATE1_MOUSE;A0A0R4J023_MOUSE;Q3U3J1_MOUSE;ODBB_MOUSE;CATA_MOUSE;Q9D881_MOUSE;Q9DCW5_MOUSE;CISY_MOUSE;A0A0R4J203_MOUSE;ODB2_MOUSE;DLDH_MOUSE;FAAA_MOUSE;F16P1_MOUSE;GSH0_MOUSE;GLNA_MOUSE;GPX1_MOUSE;GSTA2_MOUSE;GSTA3_MOUSE;HCDH_MOUSE;Q99N15_MOUSE;IDHC_MOUSE;IDHG1_MOUSE;AMACR_MOUSE;ACOT2_MOUSE;MDHM_MOUSE;MUTA_MOUSE;OAT_MOUSE;PCKGC_MOUSE;ODPA_MOUSE;PROD_MOUSE;SARDH_MOUSE;DHSO_MOUSE;SBP1_MOUSE;Q91XH5_MOUSE;SUCB1_MOUSE;SUCB2_MOUSE;SUOX_MOUSE;AL4A1_MOUSE;SSDH_MOUSE;L2HDH_MOUSE;CHDH_MOUSE;THTR_MOUSE;HIBCH_MOUSE;A2AL50_MOUSE;COQ3_MOUSE;ALDOB_MOUSE;ACSM2_MOUSE;PLCG2_MOUSE;ODP2_MOUSE;HYKK_MOUSE;A0A0R4J1H2_MOUSE;THIKB_MOUSE;AADAT_MOUSE;ACSF3_MOUSE;AGT2_MOUSE;GABT_MOUSE;KBL_MOUSE;MECR_MOUSE;IDHP_MOUSE;A0A0A0MQ68_MOUSE;ACSM5_MOUSE;DHRS4_MOUSE;AASS_MOUSE;VATG3_MOUSE;NDUS6_MOUSE;GCST_MOUSE;THIM_MOUSE;NIT2_MOUSE;LDHD_MOUSE;HAOX2_MOUSE;HYPDH_MOUSE;IVD_MOUSE;SUCA_MOUSE;MIOX_MOUSE;AL9A1_MOUSE;MOGS_MOUSE;AK1A1_MOUSE;3HIDH_MOUSE;KEG1_MOUSE;ETHE1_MOUSE;VATG1_MOUSE;NDUA7_MOUSE;ACDSB_MOUSE;SCOT1_MOUSE;GATM_MOUSE;ATP5E_MOUSE;NDUA6_MOUSE;DCXR_MOUSE;ODPB_MOUSE;NAT8_MOUSE;FAHD1_MOUSE;BDH2_MOUSE;OXSM_MOUSE;MCCA_MOUSE;CDD_MOUSE;MCEE_MOUSE;VATD_MOUSE;ECHP_MOUSE;GRHPR_MOUSE;ACOX3_MOUSE;ACOX2_MOUSE;ECHM_MOUSE;PGES2_MOUSE"
"7102"	"up_WTG0_vs_ASG0"	"KEGG"	"path:mmu00280"	"Valine, leucine and isoleucine degradation - Mus musculus (mouse)"	"28/263"	"35/2150"	10.6463878326996	1.62790697674419	5.44360667127159e-12	8.5464624738964e-10	6.53992395437262	"MMSA_MOUSE;THIL_MOUSE;PCCA_MOUSE;ACADM_MOUSE;ACADS_MOUSE;A0A0R4J023_MOUSE;Q3U3J1_MOUSE;ODBB_MOUSE;ODB2_MOUSE;DLDH_MOUSE;HCDH_MOUSE;Q99N15_MOUSE;MUTA_MOUSE;HIBCH_MOUSE;THIKB_MOUSE;ACSF3_MOUSE;AGT2_MOUSE;GABT_MOUSE;THIM_MOUSE;IVD_MOUSE;AL9A1_MOUSE;3HIDH_MOUSE;ACDSB_MOUSE;SCOT1_MOUSE;MCCA_MOUSE;MCEE_MOUSE;ECHP_MOUSE;ECHM_MOUSE"
"4102"	"up_WTG0_vs_ASG0"	"KEGG"	"path:mmu01200"	"Carbon metabolism - Mus musculus (mouse)"	"31/263"	"62/2150"	11.787072243346	2.88372093023256	2.49161622525292e-09	3.91183747364708e-07	4.08745247148289	"MMSA_MOUSE;GLYM_MOUSE;THIL_MOUSE;PCCA_MOUSE;ACADS_MOUSE;ACON_MOUSE;ACOX1_MOUSE;CATA_MOUSE;CISY_MOUSE;DLDH_MOUSE;F16P1_MOUSE;IDHC_MOUSE;IDHG1_MOUSE;MDHM_MOUSE;MUTA_MOUSE;ODPA_MOUSE;SUCB1_MOUSE;SUCB2_MOUSE;HIBCH_MOUSE;ALDOB_MOUSE;ODP2_MOUSE;A0A0R4J1H2_MOUSE;IDHP_MOUSE;GCST_MOUSE;HAOX2_MOUSE;SUCA_MOUSE;ODPB_MOUSE;MCEE_MOUSE;ECHP_MOUSE;ACOX3_MOUSE;ECHM_MOUSE"
"6102"	"up_WTG0_vs_ASG0"	"KEGG"	"path:mmu00640"	"Propanoate metabolism - Mus musculus (mouse)"	"19/263"	"24/2150"	7.22433460076046	1.11627906976744	1.9487031826185e-08	3.05946399671104e-06	6.47179974651457	"MMSA_MOUSE;THIL_MOUSE;PCCA_MOUSE;ACADS_MOUSE;ACOX1_MOUSE;Q3U3J1_MOUSE;ODBB_MOUSE;ODB2_MOUSE;DLDH_MOUSE;MUTA_MOUSE;SUCB1_MOUSE;SUCB2_MOUSE;HIBCH_MOUSE;GABT_MOUSE;SUCA_MOUSE;MCEE_MOUSE;ECHP_MOUSE;ACOX3_MOUSE;ECHM_MOUSE"
"2613"	"up_WTG0_vs_ASG0"	"KEGG"	"path:mmu00071"	"Fatty acid degradation - Mus musculus (mouse)"	"17/263"	"26/2150"	6.4638783269962	1.2093023255814	7.9553282677473e-07	0.000124898653803633	5.34513015501609	"THIL_MOUSE;A0A0R4J083_MOUSE;ACADM_MOUSE;ACADV_MOUSE;ACADS_MOUSE;ACOX1_MOUSE;CPT2_MOUSE;ECI1_MOUSE;HCDH_MOUSE;THIKB_MOUSE;A0A0A0MQ68_MOUSE;THIM_MOUSE;AL9A1_MOUSE;ACDSB_MOUSE;ECHP_MOUSE;ACOX3_MOUSE;ECHM_MOUSE"
"9102"	"up_WTG0_vs_ASG0"	"KEGG"	"path:mmu00630"	"Glyoxylate and dicarboxylate metabolism - Mus musculus (mouse)"	"15/263"	"20/2150"	5.70342205323194	0.930232558139535	1.06487624508706e-06	0.000167185570478669	6.13117870722434	"GLYM_MOUSE;THIL_MOUSE;PCCA_MOUSE;ACON_MOUSE;CATA_MOUSE;CISY_MOUSE;DLDH_MOUSE;GLNA_MOUSE;MDHM_MOUSE;MUTA_MOUSE;A0A0R4J1H2_MOUSE;GCST_MOUSE;HAOX2_MOUSE;MCEE_MOUSE;GRHPR_MOUSE"
"2413"	"up_WTG0_vs_ASG0"	"KEGG"	"path:mmu01212"	"Fatty acid metabolism - Mus musculus (mouse)"	"17/263"	"30/2150"	6.4638783269962	1.3953488372093	3.44364888573378e-06	0.000540652875060203	4.63244613434727	"THIL_MOUSE;A0A0R4J083_MOUSE;ACADM_MOUSE;ACADV_MOUSE;ACADS_MOUSE;ACOX1_MOUSE;CPT2_MOUSE;HCDH_MOUSE;THIKB_MOUSE;ACSF3_MOUSE;MECR_MOUSE;THIM_MOUSE;ACDSB_MOUSE;OXSM_MOUSE;ECHP_MOUSE;ACOX3_MOUSE;ECHM_MOUSE"
"4011"	"up_WTG0_vs_ASG0"	"KEGG"	"path:mmu00020"	"Citrate cycle (TCA cycle) - Mus musculus (mouse)"	"14/263"	"20/2150"	5.32319391634981	0.930232558139535	4.41276523168383e-06	0.000692804141374361	5.72243346007605	"ACON_MOUSE;CISY_MOUSE;DLDH_MOUSE;IDHC_MOUSE;IDHG1_MOUSE;MDHM_MOUSE;PCKGC_MOUSE;ODPA_MOUSE;SUCB1_MOUSE;SUCB2_MOUSE;ODP2_MOUSE;IDHP_MOUSE;SUCA_MOUSE;ODPB_MOUSE"
"3012"	"up_WTG0_vs_ASG0"	"KEGG"	"path:mmu00650"	"Butanoate metabolism - Mus musculus (mouse)"	"13/263"	"18/2150"	4.94296577946768	0.837209302325581	7.72638151132526e-06	0.00121304189727807	5.90409801436417	"THIL_MOUSE;ACADS_MOUSE;ACSM1_MOUSE;HCDH_MOUSE;SSDH_MOUSE;L2HDH_MOUSE;ACSM2_MOUSE;GABT_MOUSE;ACSM5_MOUSE;SCOT1_MOUSE;BDH2_MOUSE;ECHP_MOUSE;ECHM_MOUSE"
"10102"	"up_WTG0_vs_ASG0"	"KEGG"	"path:mmu00260"	"Glycine, serine and threonine metabolism - Mus musculus (mouse)"	"11/263"	"17/2150"	4.18250950570342	0.790697674418605	8.23464759102695e-05	0.0129283967179123	5.28964437486021	"GLYM_MOUSE;A0A0R4J203_MOUSE;DLDH_MOUSE;SARDH_MOUSE;CHDH_MOUSE;A0A0R4J1H2_MOUSE;AGT2_MOUSE;KBL_MOUSE;GCST_MOUSE;GATM_MOUSE;GRHPR_MOUSE"
"2912"	"up_WTG0_vs_ASG0"	"KEGG"	"path:mmu00310"	"Lysine degradation - Mus musculus (mouse)"	"10/263"	"16/2150"	3.80228136882129	0.744186046511628	0.000216114233194212	0.0339299346114913	5.10931558935361	"THIL_MOUSE;DLDH_MOUSE;HCDH_MOUSE;HYKK_MOUSE;AADAT_MOUSE;A0A0A0MQ68_MOUSE;AASS_MOUSE;AL9A1_MOUSE;ECHP_MOUSE;ECHM_MOUSE"
"3103"	"up_WTG0_vs_ASG0"	"KEGG"	"path:mmu00410"	"beta-Alanine metabolism - Mus musculus (mouse)"	"9/263"	"13/2150"	3.42205323193916	0.604651162790698	0.000261143068875935	0.0409994618135218	5.65954957589939	"MMSA_MOUSE;ACADS_MOUSE;ACOX1_MOUSE;HIBCH_MOUSE;GABT_MOUSE;AL9A1_MOUSE;ECHP_MOUSE;ACOX3_MOUSE;ECHM_MOUSE"
"2812"	"up_WTG0_vs_ASG0"	"KEGG"	"path:mmu00620"	"Pyruvate metabolism - Mus musculus (mouse)"	"10/263"	"17/2150"	3.80228136882129	0.790697674418605	0.000310728324884613	0.0487843470068843	4.80876761350928	"THIL_MOUSE;DLDH_MOUSE;MDHM_MOUSE;PCKGC_MOUSE;ODPA_MOUSE;ODP2_MOUSE;LDHD_MOUSE;AL9A1_MOUSE;ODPB_MOUSE;GRHPR_MOUSE"
"2513"	"up_WTG0_vs_ASG0"	"KEGG"	"path:mmu00380"	"Tryptophan metabolism - Mus musculus (mouse)"	"9/263"	"15/2150"	3.42205323193916	0.697674418604651	0.000563434946234452	0.0884592865588089	4.90494296577947	"THIL_MOUSE;CATA_MOUSE;DLDH_MOUSE;HCDH_MOUSE;AADAT_MOUSE;A0A0A0MQ68_MOUSE;AL9A1_MOUSE;ECHP_MOUSE;ECHM_MOUSE"
"4411"	"up_WTG0_vs_ASG0"	"KEGG"	"path:mmu04146"	"Peroxisome - Mus musculus (mouse)"	"13/263"	"32/2150"	4.94296577946768	1.48837209302326	0.000665262146684639	0.104446157029488	3.32105513307985	"ACOX1_MOUSE;CATA_MOUSE;A0A0R4J203_MOUSE;IDHC_MOUSE;AMACR_MOUSE;A2AL50_MOUSE;THIKB_MOUSE;IDHP_MOUSE;DHRS4_MOUSE;HAOX2_MOUSE;ECHP_MOUSE;ACOX3_MOUSE;ACOX2_MOUSE"
"3911"	"up_WTG0_vs_ASG0"	"KEGG"	"path:mmu03320"	"PPAR signaling pathway - Mus musculus (mouse)"	"9/263"	"18/2150"	3.42205323193916	0.837209302325581	0.00150308937803807	0.235985032351977	4.08745247148289	"A0A0R4J083_MOUSE;ACADM_MOUSE;ACOX1_MOUSE;CPT2_MOUSE;PCKGC_MOUSE;THIKB_MOUSE;ECHP_MOUSE;ACOX3_MOUSE;ACOX2_MOUSE"
"4111"	"up_WTG0_vs_ASG0"	"KEGG"	"path:mmu01210"	"2-Oxocarboxylic acid metabolism - Mus musculus (mouse)"	"6/263"	"8/2150"	2.28136882129278	0.372093023255814	0.00222603268902297	0.349487132176606	6.13117870722433	"ACON_MOUSE;CISY_MOUSE;IDHC_MOUSE;IDHG1_MOUSE;AADAT_MOUSE;IDHP_MOUSE"
"14102"	"up_WTG0_vs_ASG0"	"KEGG"	"path:mmu00250"	"Alanine, aspartate and glutamate metabolism - Mus musculus (mouse)"	"7/263"	"12/2150"	2.6615969581749	0.558139534883721	0.0026707964149901	0.419315037153446	4.76869455006337	"ARLY_MOUSE;GLNA_MOUSE;AL4A1_MOUSE;SSDH_MOUSE;AGT2_MOUSE;GABT_MOUSE;NIT2_MOUSE"
"6911"	"up_WTG0_vs_ASG0"	"KEGG"	"path:mmu00330"	"Arginine and proline metabolism - Mus musculus (mouse)"	"7/263"	"16/2150"	2.6615969581749	0.744186046511628	0.00886378314077851	1	3.57652091254753	"A0A0R4J203_MOUSE;OAT_MOUSE;PROD_MOUSE;AL4A1_MOUSE;HYPDH_MOUSE;AL9A1_MOUSE;GATM_MOUSE"
"7811"	"up_WTG0_vs_ASG0"	"KEGG"	"path:mmu00480"	"Glutathione metabolism - Mus musculus (mouse)"	"7/263"	"17/2150"	2.6615969581749	0.790697674418605	0.0113773837520622	1	3.3661373294565	"GSH0_MOUSE;GPX1_MOUSE;GSTA2_MOUSE;GSTA3_MOUSE;IDHC_MOUSE;IDHP_MOUSE;NAT8_MOUSE"
"3512"	"up_WTG0_vs_ASG0"	"KEGG"	"path:mmu04966"	"Collecting duct acid secretion - Mus musculus (mouse)"	"6/263"	"13/2150"	2.28136882129278	0.604651162790698	0.0125712092523674	1	3.77303305059959	"Q91YH6_MOUSE;VATB2_MOUSE;VATE1_MOUSE;VATG3_MOUSE;VATG1_MOUSE;VATD_MOUSE"
"7011"	"up_WTG0_vs_ASG0"	"KEGG"	"path:mmu00010"	"Glycolysis / Gluconeogenesis - Mus musculus (mouse)"	"9/263"	"28/2150"	3.42205323193916	1.30232558139535	0.0150169629249359	1	2.62764801738186	"DLDH_MOUSE;F16P1_MOUSE;PCKGC_MOUSE;ODPA_MOUSE;ALDOB_MOUSE;ODP2_MOUSE;AL9A1_MOUSE;AK1A1_MOUSE;ODPB_MOUSE"
"10611"	"up_WTG0_vs_ASG0"	"KEGG"	"path:mmu00920"	"Sulfur metabolism - Mus musculus (mouse)"	"4/263"	"6/2150"	1.52091254752852	0.27906976744186	0.0169914676944898	1	5.44993662864385	"SBP1_MOUSE;SUOX_MOUSE;THTR_MOUSE;ETHE1_MOUSE"
"3612"	"up_WTG0_vs_ASG0"	"KEGG"	"path:mmu05323"	"Rheumatoid arthritis - Mus musculus (mouse)"	"6/263"	"15/2150"	2.28136882129278	0.697674418604651	0.0208670809035228	1	3.26996197718631	"Q91YH6_MOUSE;VATB2_MOUSE;VATE1_MOUSE;VATG3_MOUSE;VATG1_MOUSE;VATD_MOUSE"
"3812"	"up_WTG0_vs_ASG0"	"KEGG"	"path:mmu04721"	"Synaptic vesicle cycle - Mus musculus (mouse)"	"6/263"	"15/2150"	2.28136882129278	0.697674418604651	0.0208670809035228	1	3.26996197718631	"Q91YH6_MOUSE;VATB2_MOUSE;VATE1_MOUSE;VATG3_MOUSE;VATG1_MOUSE;VATD_MOUSE"
"2103"	"up_WTG0_vs_ASG0"	"KEGG"	"path:mmu00040"	"Pentose and glucuronate interconversions - Mus musculus (mouse)"	"4/263"	"7/2150"	1.52091254752852	0.325581395348837	0.0244575036753913	1	4.6713742531233	"XYLB_MOUSE;DHSO_MOUSE;AK1A1_MOUSE;DCXR_MOUSE"
"9211"	"up_WTG0_vs_ASG0"	"KEGG"	"path:mmu00062"	"Fatty acid elongation - Mus musculus (mouse)"	"5/263"	"12/2150"	1.90114068441065	0.558139534883721	0.0304143033528604	1	3.40621039290241	"HCDH_MOUSE;ACOT2_MOUSE;MECR_MOUSE;THIM_MOUSE;ECHM_MOUSE"
"4311"	"up_WTG0_vs_ASG0"	"KEGG"	"path:mmu00592"	"alpha-Linolenic acid metabolism - Mus musculus (mouse)"	"3/263"	"4/2150"	1.14068441064639	0.186046511627907	0.0320680484504086	1	6.13117870722433	"ACOX1_MOUSE;THIKB_MOUSE;ACOX3_MOUSE"
"13102"	"up_WTG0_vs_ASG0"	"KEGG"	"path:mmu01230"	"Biosynthesis of amino acids - Mus musculus (mouse)"	"9/263"	"32/2150"	3.42205323193916	1.48837209302326	0.0371832692739745	1	2.29919201520913	"GLYM_MOUSE;ARLY_MOUSE;ACON_MOUSE;CISY_MOUSE;GLNA_MOUSE;IDHC_MOUSE;IDHG1_MOUSE;ALDOB_MOUSE;IDHP_MOUSE"
"15111"	"up_WTG0_vs_ASG0"	"KEGG"	"path:mmu04141"	"Protein processing in endoplasmic reticulum - Mus musculus (mouse)"	"1/263"	"48/2150"	0.380228136882129	2.23255813953488	0.0373791840249587	1	0.17031051964512	"MOGS_MOUSE"
"11102"	"up_WTG0_vs_ASG0"	"KEGG"	"path:mmu00670"	"One carbon pool by folate - Mus musculus (mouse)"	"3/263"	"5/2150"	1.14068441064639	0.232558139534884	0.0472540322483744	1	4.90494296577947	"GLYM_MOUSE;C1TC_MOUSE;GCST_MOUSE"
"14311"	"up_WTG0_vs_ASG0"	"KEGG"	"path:mmu00061"	"Fatty acid biosynthesis - Mus musculus (mouse)"	"3/263"	"5/2150"	1.14068441064639	0.232558139534884	0.0472540322483744	1	4.90494296577947	"ACSF3_MOUSE;MECR_MOUSE;OXSM_MOUSE"
"19100"	"up_WTG0_vs_ASG0"	"KEGG"	"path:mmu00190"	"Oxidative phosphorylation - Mus musculus (mouse)"	"16/263"	"76/2150"	6.08365019011407	3.53488372093023	0.0578340965710503	1	1.72103261957174	"CX6B1_MOUSE;Q91YH6_MOUSE;ATPA_MOUSE;ATPB_MOUSE;VATB2_MOUSE;VATE1_MOUSE;Q9D881_MOUSE;Q9DCW5_MOUSE;VATG3_MOUSE;NDUS6_MOUSE;VATG1_MOUSE;NDUA7_MOUSE;ATP5E_MOUSE;NDUA6_MOUSE;VATD_MOUSE;IPYR2_MOUSE"
"2712"	"up_WTG0_vs_ASG0"	"KEGG"	"path:mmu00072"	"Synthesis and degradation of ketone bodies - Mus musculus (mouse)"	"3/263"	"6/2150"	1.14068441064639	0.27906976744186	0.0653139498047249	1	4.08745247148289	"THIL_MOUSE;SCOT1_MOUSE;BDH2_MOUSE"
"4211"	"up_WTG0_vs_ASG0"	"KEGG"	"path:mmu01040"	"Biosynthesis of unsaturated fatty acids - Mus musculus (mouse)"	"4/263"	"11/2150"	1.52091254752852	0.511627906976744	0.0714958864131374	1	2.97269270653301	"ACOX1_MOUSE;ACOT2_MOUSE;THIKB_MOUSE;ACOX3_MOUSE"
"10511"	"up_WTG0_vs_ASG0"	"KEGG"	"path:mmu04144"	"Endocytosis - Mus musculus (mouse)"	"1/263"	"42/2150"	0.380228136882129	1.95348837209302	0.0807134004496629	1	0.194640593880138	"RAB10_MOUSE"
"4611"	"up_WTG0_vs_ASG0"	"KEGG"	"path:mmu00730"	"Thiamine metabolism - Mus musculus (mouse)"	"2/263"	"3/2150"	0.760456273764259	0.13953488372093	0.0947042484704593	1	5.44993662864385	"KAD2_MOUSE;KAD4_MOUSE"
"8103"	"up_WTG0_vs_ASG1"	"GO"	"5739"	"mitochondrion "	"185/352"	"452/2150"	52.5568181818182	21.0232558139535	2.01061476120441e-32	4.00715521908038e-29	2.49993714802896	"CHDH_MOUSE;ALDH2_MOUSE;COX41_MOUSE;CH10_MOUSE;CLPP_MOUSE;BPHL_MOUSE;AMACR_MOUSE;ATP5E_MOUSE;B2L13_MOUSE;ATPO_MOUSE;SFXN3_MOUSE;PPA6_MOUSE;SDHB_MOUSE;NDUS6_MOUSE;NDUA8_MOUSE;NIT1_MOUSE;RM50_MOUSE;MUTA_MOUSE;QCR8_MOUSE;ISC2A_MOUSE;MARC2_MOUSE;MPPB_MOUSE;NDUA2_MOUSE;PROD_MOUSE;IDHC_MOUSE;NDUA4_MOUSE;PURA2_MOUSE;QCR6_MOUSE;THIM_MOUSE;VATE1_MOUSE;VWA8_MOUSE;QCR1_MOUSE;RT26_MOUSE;SUCA_MOUSE;PAHX_MOUSE;SFXN1_MOUSE;SDHA_MOUSE;THIC_MOUSE;SARDH_MOUSE;THIKB_MOUSE;OXSM_MOUSE;NDUBB_MOUSE;RT05_MOUSE;ODB2_MOUSE;SSDH_MOUSE;NDUV2_MOUSE;PRDX3_MOUSE;PGES2_MOUSE;AEDO_MOUSE;MSRB2_MOUSE;ACADM_MOUSE;NDUC2_MOUSE;ODP2_MOUSE;DCMC_MOUSE;IDHP_MOUSE;NIT2_MOUSE;ODPX_MOUSE;NDUB4_MOUSE;NUDT8_MOUSE;ETFA_MOUSE;FUMH_MOUSE;GCST_MOUSE;ODPA_MOUSE;ODBB_MOUSE;ODPB_MOUSE;LETM1_MOUSE;NDUS1_MOUSE;IVD_MOUSE;GRP75_MOUSE;MOT1_MOUSE;CMC2_MOUSE;COX6C_MOUSE;NDUAD_MOUSE;KAD2_MOUSE;3HIDH_MOUSE;HDHD3_MOUSE;MECR_MOUSE;COA6_MOUSE;ISC2B_MOUSE;MIC19_MOUSE;NDUS5_MOUSE;NDUA7_MOUSE;NDUA6_MOUSE;MCCA_MOUSE;AADAT_MOUSE;MIC60_MOUSE;LPPRC_MOUSE;MMSA_MOUSE;ACADS_MOUSE;HMGCL_MOUSE;L2HDH_MOUSE;LDHD_MOUSE;MDHM_MOUSE;KAD4_MOUSE;KEG1_MOUSE;LONM_MOUSE;HCDH_MOUSE;HSDL2_MOUSE;KAD3_MOUSE;KCRB_MOUSE;GPX1_MOUSE;GLYM_MOUSE;GABT_MOUSE;AMPL_MOUSE;ATPA_MOUSE;ATP5J_MOUSE;ETHE1_MOUSE;HINT2_MOUSE;ACOX3_MOUSE;ACADV_MOUSE;HYPDH_MOUSE;FAHD1_MOUSE;GLYAT_MOUSE;AL9A1_MOUSE;AGT2_MOUSE;COQ3_MOUSE;HAOX2_MOUSE;ATPD_MOUSE;EFTU_MOUSE;GAL3A_MOUSE;ECHD2_MOUSE;ACO13_MOUSE;ARK72_MOUSE;DIC_MOUSE;ECHB_MOUSE;F210A_MOUSE;ADRO_MOUSE;CISY_MOUSE;TIM8A_MOUSE;EFGM_MOUSE;ECI1_MOUSE;ECHM_MOUSE;ACON_MOUSE;ACSF3_MOUSE;ETFB_MOUSE;ATP5H_MOUSE;DLDH_MOUSE;ACOX1_MOUSE;ATPB_MOUSE;ADX_MOUSE;DHRS4_MOUSE;DNJA3_MOUSE;EFTS_MOUSE;CX6B1_MOUSE;CISD1_MOUSE;DHB8_MOUSE;AASS_MOUSE;CPT2_MOUSE;ACSM2_MOUSE;ACSM1_MOUSE;CH60_MOUSE;ATP5I_MOUSE;CATA_MOUSE;DHB4_MOUSE;COX20_MOUSE;CLYBL_MOUSE;CBR4_MOUSE;COX5A_MOUSE;AL4A1_MOUSE;QCR2_MOUSE;SIR5_MOUSE;SUCHY_MOUSE;PCKGC_MOUSE;RT36_MOUSE;SUOX_MOUSE;SUCB2_MOUSE;RM12_MOUSE;SCOT1_MOUSE;THIL_MOUSE;THIKA_MOUSE;SUCB1_MOUSE;THTM_MOUSE;THTR_MOUSE;TIM16_MOUSE;TIM50_MOUSE;UCRI_MOUSE;SLIRP_MOUSE;Q921K2_MOUSE;A0A0R4J0T0_MOUSE;A0A1L1STE6_MOUSE;E9PV44_MOUSE;F7ARZ1_MOUSE;Z4YK42_MOUSE;Q91VA7_MOUSE;A0A0A0MQ68_MOUSE"
