"Type"	"Ontology_type"	"Ontology_accession"	"Ongology_description"	"Count_query"	"Count_universe"	"%_query"	"%_universe"	"pval"	"adjpval"	"fold_change"	"Proteins_in_query"
"1060"	"GO top10% PC1"	"GO"	"5720"	"nuclear heterochromatin "	"3/215"	"6/2150"	1.3953488372093	0.27906976744186	0.0411774961800051	1	5	"H15_MOUSE;H14_MOUSE;Q9DCC5_MOUSE"
"1303"	"GO top10% PC1"	"GO"	"61003"	"positive regulation of dendritic spine morphogenesis "	"3/215"	"6/2150"	1.3953488372093	0.27906976744186	0.0411774961800051	1	5	"HCLS1_MOUSE;DBNL_MOUSE;H7BX01_MOUSE"
"464"	"GO top10% PC1"	"GO"	"7283"	"spermatogenesis "	"6/215"	"23/2150"	2.7906976744186	1.06976744186047	0.0421690969498307	1	2.60869565217391	"PGAM2_MOUSE;KHDR1_MOUSE;SEPT6_MOUSE;HMGA1_MOUSE;H11_MOUSE;H2AX_MOUSE"
"676"	"GO top10% PC1"	"GO"	"31901"	"early endosome membrane "	"5/215"	"17/2150"	2.32558139534884	0.790697674418605	0.0432175198828449	1	2.94117647058824	"SNX2_MOUSE;GGA1_MOUSE;EHD4_MOUSE;EHD1_MOUSE;Q6NZD2_MOUSE"
"28"	"GO top10% PC1"	"GO"	"99059"	"integral component of presynaptic active zone membrane "	"2/215"	"2/2150"	0.930232558139535	0.0930232558139535	0.0436077713664974	1	10	"AT2B1_MOUSE;CALX_MOUSE"
"182"	"GO top10% PC1"	"GO"	"7213"	"G protein-coupled acetylcholine receptor signaling pathway "	"2/215"	"2/2150"	0.930232558139535	0.0930232558139535	0.0436077713664974	1	10	"RGS10_MOUSE;GNAI2_MOUSE"
"190"	"GO top10% PC1"	"GO"	"781"	"chromosome, telomeric region "	"2/215"	"2/2150"	0.930232558139535	0.0930232558139535	0.0436077713664974	1	10	"ROA2_MOUSE;H2AX_MOUSE"
"289"	"GO top10% PC1"	"GO"	"140031"	"phosphorylation-dependent protein binding "	"2/215"	"2/2150"	0.930232558139535	0.0930232558139535	0.0436077713664974	1	10	"PTN6_MOUSE;LYN_MOUSE"
"414"	"GO top10% PC1"	"GO"	"10035"	"response to inorganic substance "	"2/215"	"2/2150"	0.930232558139535	0.0930232558139535	0.0436077713664974	1	10	"PUR9_MOUSE;PGAM2_MOUSE"
"466"	"GO top10% PC1"	"GO"	"2376"	"immune system process "	"2/215"	"2/2150"	0.930232558139535	0.0930232558139535	0.0436077713664974	1	10	"PTMS_MOUSE;PSA1_MOUSE"
"530"	"GO top10% PC1"	"GO"	"42590"	"antigen processing and presentation of exogenous peptide antigen via MHC class I "	"2/215"	"2/2150"	0.930232558139535	0.0930232558139535	0.0436077713664974	1	10	"FCGR1_MOUSE;FCERG_MOUSE"
"537"	"GO top10% PC1"	"GO"	"1805"	"positive regulation of type III hypersensitivity "	"2/215"	"2/2150"	0.930232558139535	0.0930232558139535	0.0436077713664974	1	10	"FCGR1_MOUSE;FCERG_MOUSE"
"561"	"GO top10% PC1"	"GO"	"31527"	"filopodium membrane "	"2/215"	"2/2150"	0.930232558139535	0.0930232558139535	0.0436077713664974	1	10	"VASP_MOUSE;MOES_MOUSE"
"573"	"GO top10% PC1"	"GO"	"2000401"	"regulation of lymphocyte migration "	"2/215"	"2/2150"	0.930232558139535	0.0930232558139535	0.0436077713664974	1	10	"STK10_MOUSE;MOES_MOUSE"
"681"	"GO top10% PC1"	"GO"	"30905"	"retromer, tubulation complex "	"2/215"	"2/2150"	0.930232558139535	0.0930232558139535	0.0436077713664974	1	10	"SNX2_MOUSE;Q6NZD2_MOUSE"
"683"	"GO top10% PC1"	"GO"	"1990460"	"leptin receptor binding "	"2/215"	"2/2150"	0.930232558139535	0.0930232558139535	0.0436077713664974	1	10	"SNX2_MOUSE;Q6NZD2_MOUSE"
"726"	"GO top10% PC1"	"GO"	"42609"	"CD4 receptor binding "	"2/215"	"2/2150"	0.930232558139535	0.0930232558139535	0.0436077713664974	1	10	"HG2A_MOUSE;IL16_MOUSE"
"747"	"GO top10% PC1"	"GO"	"45060"	"negative thymic T cell selection "	"2/215"	"2/2150"	0.930232558139535	0.0930232558139535	0.0436077713664974	1	10	"HG2A_MOUSE;DOCK2_MOUSE"
"771"	"GO top10% PC1"	"GO"	"45059"	"positive thymic T cell selection "	"2/215"	"2/2150"	0.930232558139535	0.0930232558139535	0.0436077713664974	1	10	"HG2A_MOUSE;DOCK2_MOUSE"
"1066"	"GO top10% PC1"	"GO"	"16531"	"copper chaperone activity "	"2/215"	"2/2150"	0.930232558139535	0.0930232558139535	0.0436077713664974	1	10	"COX17_MOUSE;ATOX1_MOUSE"
"1142"	"GO top10% PC1"	"GO"	"2431"	"Fc receptor mediated stimulatory signaling pathway "	"2/215"	"2/2150"	0.930232558139535	0.0930232558139535	0.0436077713664974	1	10	"LYN_MOUSE;FCERG_MOUSE"
"1258"	"GO top10% PC1"	"GO"	"35985"	"senescence-associated heterochromatin focus "	"2/215"	"2/2150"	0.930232558139535	0.0930232558139535	0.0436077713664974	1	10	"HMGA1_MOUSE;Q9DCC5_MOUSE"
"1276"	"GO top10% PC1"	"GO"	"35308"	"negative regulation of protein dephosphorylation "	"2/215"	"2/2150"	0.930232558139535	0.0930232558139535	0.0436077713664974	1	10	"ENSA_MOUSE;1433B_MOUSE"
"1441"	"GO top10% PC1"	"GO"	"16507"	"mitochondrial fatty acid beta-oxidation multienzyme complex "	"2/215"	"2/2150"	0.930232558139535	0.0930232558139535	0.0436077713664974	1	10	"ECHB_MOUSE;ECHA_MOUSE"
"1641"	"GO top10% PC1"	"GO"	"51666"	"actin cortical patch localization "	"2/215"	"2/2150"	0.930232558139535	0.0930232558139535	0.0436077713664974	1	10	"WASP_MOUSE;WIPF1_MOUSE"
"469"	"GO top10% PC1"	"GO"	"5884"	"actin filament "	"6/215"	"24/2150"	2.7906976744186	1.11627906976744	0.048866409165009	1	2.5	"COR1B_MOUSE;ACTB_MOUSE;TWF2_MOUSE;COR1A_MOUSE;WASP_MOUSE;WIPF1_MOUSE"
"476"	"GO top10% PC1"	"GO"	"16477"	"cell migration "	"6/215"	"24/2150"	2.7906976744186	1.11627906976744	0.048866409165009	1	2.5	"COR1B_MOUSE;CORO7_MOUSE;NFAC2_MOUSE;ARP5L_MOUSE;ELMO1_MOUSE;COR1A_MOUSE"
"9100"	"GO top10% PC2"	"GO"	"5615"	"extracellular space "	"29/214"	"120/2150"	13.5514018691589	5.58139534883721	4.17838067194064e-05	0.0750437168680538	2.42795950155763	"C1QB_MOUSE;CATB_MOUSE;HEMO_MOUSE;HEXB_MOUSE;ANXA2_MOUSE;PRDX4_MOUSE;ALBU_MOUSE;ANXA5_MOUSE;NGP_MOUSE;LEG1_MOUSE;MA2B1_MOUSE;AMBP_MOUSE;HMGB2_MOUSE;GELS_MOUSE;APOE_MOUSE;A1AT4_MOUSE;ASAH1_MOUSE;CFAD_MOUSE;CLUS_MOUSE;CATL1_MOUSE;S10A9_MOUSE;S10A8_MOUSE;TRFE_MOUSE;UROM_MOUSE;Q3TML0_MOUSE;A0A0R4J0I1_MOUSE;E9PZ00_MOUSE;G3X9T8_MOUSE;Q8R5L1_MOUSE"
"3210"	"GO top10% PC2"	"GO"	"5764"	"lysosome "	"14/214"	"44/2150"	6.54205607476635	2.04651162790698	0.000444174153749316	0.797736780133771	3.19668649107901	"CATB_MOUSE;NPC1_MOUSE;HEXB_MOUSE;LMBD1_MOUSE;RAB14_MOUSE;RAB7A_MOUSE;NAGAB_MOUSE;MA2B1_MOUSE;LAMP1_MOUSE;APOE_MOUSE;ASAH1_MOUSE;CATL1_MOUSE;Q9JHF5_MOUSE;E9PZ00_MOUSE"
"5111"	"GO top10% PC2"	"GO"	"6826"	"iron ion transport "	"5/214"	"5/2150"	2.33644859813084	0.232558139534884	0.000999807206362858	1	10.0467289719626	"SFXN1_MOUSE;FRIH_MOUSE;TRFE_MOUSE;G3X9T8_MOUSE;Q9CPX4_MOUSE"
"14310"	"GO top10% PC2"	"GO"	"5509"	"calcium ion binding "	"20/214"	"86/2150"	9.34579439252336	4	0.00134518768682583	1	2.33644859813084	"S10A6_MOUSE;PLSI_MOUSE;S10AA_MOUSE;ANXA2_MOUSE;S10AB_MOUSE;ANXA5_MOUSE;NUCL_MOUSE;ANXA3_MOUSE;GELS_MOUSE;ESYT1_MOUSE;ATPB_MOUSE;S10A9_MOUSE;S10A8_MOUSE;UROM_MOUSE;S4R1F2_MOUSE;A0A0G2JDZ4_MOUSE;A0A494BBD8_MOUSE;A0A0R4J1C2_MOUSE;D3YV37_MOUSE;Q6ZWQ9_MOUSE"
"3861"	"GO top10% PC2"	"GO"	"5544"	"calcium-dependent phospholipid binding "	"6/214"	"11/2150"	2.80373831775701	0.511627906976744	0.00270078091893015	1	5.48003398470688	"ANXA2_MOUSE;ANXA5_MOUSE;ANXA3_MOUSE;ESYT1_MOUSE;S4R1F2_MOUSE;A0A494BBD8_MOUSE"
"2801"	"GO top10% PC2"	"GO"	"502"	"proteasome complex "	"7/214"	"17/2150"	3.27102803738318	0.790697674418605	0.00408525219218996	1	4.1368884002199	"PSB4_MOUSE;PSB2_MOUSE;PSMD2_MOUSE;PSMD6_MOUSE;PSA3_MOUSE;PSMD7_MOUSE;PSA5_MOUSE"
"2881"	"GO top10% PC2"	"GO"	"43161"	"proteasome-mediated ubiquitin-dependent protein catabolic process "	"7/214"	"18/2150"	3.27102803738318	0.837209302325581	0.0052465072021994	1	3.90706126687435	"PSB4_MOUSE;PSB2_MOUSE;PSMD2_MOUSE;PSMD6_MOUSE;PSA3_MOUSE;PSMD7_MOUSE;PSA5_MOUSE"
"2910"	"GO top10% PC2"	"GO"	"62023"	"collagen-containing extracellular matrix "	"10/214"	"35/2150"	4.67289719626168	1.62790697674419	0.00560161942145818	1	2.87049399198932	"CATB_MOUSE;S10A6_MOUSE;S10AA_MOUSE;ANXA2_MOUSE;S10AB_MOUSE;ANXA5_MOUSE;LEG1_MOUSE;AMBP_MOUSE;ANXA3_MOUSE;CATL1_MOUSE"
"5381"	"GO top10% PC2"	"GO"	"45453"	"bone resorption "	"4/214"	"5/2150"	1.86915887850467	0.232558139534884	0.00570477581843274	1	8.03738317757009	"RAC2_MOUSE;RAB7A_MOUSE;Q3TLP8_MOUSE;Q9JHF5_MOUSE"
"4100"	"GO top10% PC2"	"GO"	"50660"	"flavin adenine dinucleotide binding "	"9/214"	"30/2150"	4.20560747663551	1.3953488372093	0.00653442581308986	1	3.01401869158878	"CHDH_MOUSE;SARDH_MOUSE;ACADM_MOUSE;ETFA_MOUSE;LDHD_MOUSE;ACOX2_MOUSE;FMO1_MOUSE;ACOX1_MOUSE;A0A0A0MQ68_MOUSE"
"4010"	"GO top10% PC2"	"GO"	"4175"	"endopeptidase activity "	"7/214"	"20/2150"	3.27102803738318	0.930232558139535	0.0082897084634969	1	3.51635514018692	"CATB_MOUSE;PSB4_MOUSE;PSB2_MOUSE;PSA3_MOUSE;PSA5_MOUSE;CFAD_MOUSE;CATL1_MOUSE"
"11910"	"GO top10% PC2"	"GO"	"6879"	"cellular iron ion homeostasis "	"5/214"	"11/2150"	2.33644859813084	0.511627906976744	0.0110213329898173	1	4.56669498725574	"HEMO_MOUSE;TRFE_MOUSE;VATG1_MOUSE;G3X9T8_MOUSE;Q9CPX4_MOUSE"
"11631"	"GO top10% PC2"	"GO"	"50786"	"RAGE receptor binding "	"3/214"	"3/2150"	1.4018691588785	0.13953488372093	0.011892784901058	1	10.0467289719626	"HMGB2_MOUSE;S10A9_MOUSE;S10A8_MOUSE"
"12551"	"GO top10% PC2"	"GO"	"10467"	"gene expression "	"3/214"	"3/2150"	1.4018691588785	0.13953488372093	0.011892784901058	1	10.0467289719626	"APOE_MOUSE;UROM_MOUSE;Q9JHF5_MOUSE"
"4281"	"GO top10% PC2"	"GO"	"5770"	"late endosome "	"7/214"	"22/2150"	3.27102803738318	1.02325581395349	0.0124672960327491	1	3.19668649107901	"RAB14_MOUSE;RAB7A_MOUSE;LAMP1_MOUSE;APOE_MOUSE;TRFE_MOUSE;Q9JHF5_MOUSE;Q8BH40_MOUSE"
"2651"	"GO top10% PC2"	"GO"	"6914"	"autophagy "	"4/214"	"7/2150"	1.86915887850467	0.325581395348837	0.01292277134159	1	5.74098798397864	"NPC1_MOUSE;S10A9_MOUSE;S10A8_MOUSE;Q9JHF5_MOUSE"
"4841"	"GO top10% PC2"	"GO"	"16209"	"antioxidant activity "	"4/214"	"7/2150"	1.86915887850467	0.325581395348837	0.01292277134159	1	5.74098798397864	"PRDX2_MOUSE;APOE_MOUSE;S10A9_MOUSE;S10A8_MOUSE"
"6100"	"GO top10% PC2"	"GO"	"5623"	"cell "	"26/214"	"152/2150"	12.1495327102804	7.06976744186047	0.0135253425347054	1	1.71851942941466	"C1QB_MOUSE;HEMO_MOUSE;HEXB_MOUSE;PRDX4_MOUSE;PRDX2_MOUSE;RAB7A_MOUSE;RTN4_MOUSE;NHRF1_MOUSE;MYH9_MOUSE;LEG1_MOUSE;GSH0_MOUSE;GLRX1_MOUSE;HMGB2_MOUSE;GELS_MOUSE;APOE_MOUSE;FHOD1_MOUSE;FRIH_MOUSE;ATPB_MOUSE;TRFE_MOUSE;UROM_MOUSE;VATG1_MOUSE;Q3TML0_MOUSE;Q9JHF5_MOUSE;E9Q8N8_MOUSE;G3X9T8_MOUSE;Q9CPX4_MOUSE"
"11041"	"GO top10% PC2"	"GO"	"71949"	"FAD binding "	"5/214"	"12/2150"	2.33644859813084	0.558139534883721	0.0144882296860203	1	4.18613707165109	"LDHD_MOUSE;ACOX2_MOUSE;ACOX1_MOUSE;A0A0R4J203_MOUSE;Q3V0K6_MOUSE"
"3510"	"GO top10% PC2"	"GO"	"48471"	"perinuclear region of cytoplasm "	"20/214"	"110/2150"	9.34579439252336	5.11627906976744	0.0168781605589589	1	1.82667799490229	"CATB_MOUSE;MVP_MOUSE;S10A6_MOUSE;STOM_MOUSE;AN32A_MOUSE;NPC1_MOUSE;ANXA2_MOUSE;RAB14_MOUSE;PPIB_MOUSE;NDRG1_MOUSE;NHRF1_MOUSE;LAMP1_MOUSE;HMGB2_MOUSE;GELS_MOUSE;CLUS_MOUSE;TRFE_MOUSE;SLIRP_MOUSE;VIME_MOUSE;Q8BH40_MOUSE;B7FAU9_MOUSE"
"2871"	"GO top10% PC2"	"GO"	"10499"	"proteasomal ubiquitin-independent protein catabolic process "	"4/214"	"8/2150"	1.86915887850467	0.372093023255814	0.0180339944327878	1	5.02336448598131	"PSB4_MOUSE;PSB2_MOUSE;PSA3_MOUSE;PSA5_MOUSE"
"8201"	"GO top10% PC2"	"GO"	"2001244"	"positive regulation of intrinsic apoptotic signaling pathway "	"4/214"	"8/2150"	1.86915887850467	0.372093023255814	0.0180339944327878	1	5.02336448598131	"NHRF1_MOUSE;CLUS_MOUSE;S10A9_MOUSE;S10A8_MOUSE"
"3631"	"GO top10% PC2"	"GO"	"1990904"	"ribonucleoprotein complex "	"11/214"	"48/2150"	5.14018691588785	2.23255813953488	0.018044363935984	1	2.3023753894081	"ELAV1_MOUSE;RS4X_MOUSE;RS7_MOUSE;RS3_MOUSE;RS8_MOUSE;NUCL_MOUSE;G3BP2_MOUSE;DDX17_MOUSE;RL13A_MOUSE;SLIRP_MOUSE;VIME_MOUSE"
"4110"	"GO top10% PC2"	"GO"	"30984"	"kininogen binding "	"3/214"	"4/2150"	1.4018691588785	0.186046511627907	0.0194369623750523	1	7.53504672897196	"CATB_MOUSE;CATL1_MOUSE;Q8R5L1_MOUSE"
"16510"	"GO top10% PC2"	"GO"	"1990948"	"ubiquitin ligase inhibitor activity "	"3/214"	"4/2150"	1.4018691588785	0.186046511627907	0.0194369623750523	1	7.53504672897196	"RL23_MOUSE;RL11_MOUSE;RS7_MOUSE"
"16810"	"GO top10% PC2"	"GO"	"1904667"	"negative regulation of ubiquitin protein ligase activity "	"3/214"	"4/2150"	1.4018691588785	0.186046511627907	0.0194369623750523	1	7.53504672897196	"RL23_MOUSE;RL11_MOUSE;RS7_MOUSE"
"16910"	"GO top10% PC2"	"GO"	"2000059"	"negative regulation of ubiquitin-dependent protein catabolic process "	"3/214"	"4/2150"	1.4018691588785	0.186046511627907	0.0194369623750523	1	7.53504672897196	"RL23_MOUSE;RL11_MOUSE;RS7_MOUSE"
"4211"	"GO top10% PC2"	"GO"	"97208"	"alveolar lamellar body "	"3/214"	"4/2150"	1.4018691588785	0.186046511627907	0.0194369623750523	1	7.53504672897196	"RAB14_MOUSE;RAB7A_MOUSE;LAMP1_MOUSE"
"4531"	"GO top10% PC2"	"GO"	"5838"	"proteasome regulatory particle "	"3/214"	"4/2150"	1.4018691588785	0.186046511627907	0.0194369623750523	1	7.53504672897196	"PSMD2_MOUSE;PSMD6_MOUSE;PSMD7_MOUSE"
"6281"	"GO top10% PC2"	"GO"	"2523"	"leukocyte migration involved in inflammatory response "	"3/214"	"4/2150"	1.4018691588785	0.186046511627907	0.0194369623750523	1	7.53504672897196	"RTN4_MOUSE;S10A9_MOUSE;S10A8_MOUSE"
"8401"	"GO top10% PC2"	"GO"	"16460"	"myosin II complex "	"3/214"	"4/2150"	1.4018691588785	0.186046511627907	0.0194369623750523	1	7.53504672897196	"MYH9_MOUSE;D3YV37_MOUSE;Q6ZWQ9_MOUSE"
"14091"	"GO top10% PC2"	"GO"	"8199"	"ferric iron binding "	"3/214"	"4/2150"	1.4018691588785	0.186046511627907	0.0194369623750523	1	7.53504672897196	"FRIH_MOUSE;TRFE_MOUSE;Q9CPX4_MOUSE"
"15351"	"GO top10% PC2"	"GO"	"14002"	"astrocyte development "	"3/214"	"4/2150"	1.4018691588785	0.186046511627907	0.0194369623750523	1	7.53504672897196	"S10A9_MOUSE;S10A8_MOUSE;VIME_MOUSE"
"2611"	"GO top10% PC2"	"GO"	"31982"	"vesicle "	"6/214"	"19/2150"	2.80373831775701	0.883720930232558	0.0209155161619042	1	3.17265125430398	"NPC1_MOUSE;ANXA2_MOUSE;LAMP1_MOUSE;1433G_MOUSE;TRFE_MOUSE;E9Q616_MOUSE"
"3610"	"GO top10% PC2"	"GO"	"42383"	"sarcolemma "	"5/214"	"14/2150"	2.33644859813084	0.651162790697674	0.0234555630900102	1	3.58811748998665	"CATB_MOUSE;ANXA2_MOUSE;ANXA5_MOUSE;LAMP1_MOUSE;E9Q616_MOUSE"
"14710"	"GO top10% PC2"	"GO"	"44548"	"S100 protein binding "	"4/214"	"9/2150"	1.86915887850467	0.418604651162791	0.0242407382120408	1	4.46521287642783	"S10A6_MOUSE;ANXA2_MOUSE;S10AB_MOUSE;E9Q616_MOUSE"
"2811"	"GO top10% PC2"	"GO"	"5839"	"proteasome core complex "	"4/214"	"9/2150"	1.86915887850467	0.418604651162791	0.0242407382120408	1	4.46521287642783	"PSB4_MOUSE;PSB2_MOUSE;PSA3_MOUSE;PSA5_MOUSE"
"2841"	"GO top10% PC2"	"GO"	"4298"	"threonine-type endopeptidase activity "	"4/214"	"9/2150"	1.86915887850467	0.418604651162791	0.0242407382120408	1	4.46521287642783	"PSB4_MOUSE;PSB2_MOUSE;PSA3_MOUSE;PSA5_MOUSE"
"8841"	"GO top10% PC2"	"GO"	"33539"	"fatty acid beta-oxidation using acyl-CoA dehydrogenase "	"4/214"	"9/2150"	1.86915887850467	0.418604651162791	0.0242407382120408	1	4.46521287642783	"ACADM_MOUSE;ETFA_MOUSE;ETFB_MOUSE;A0A0A0MQ68_MOUSE"
"6701"	"GO top10% PC2"	"GO"	"6635"	"fatty acid beta-oxidation "	"7/214"	"26/2150"	3.27102803738318	1.2093023255814	0.025023480689897	1	2.70488856937455	"THIKB_MOUSE;ACADM_MOUSE;ACOX2_MOUSE;ECHD2_MOUSE;ECI1_MOUSE;ACOX1_MOUSE;BDH2_MOUSE"
"6611"	"GO top10% PC2"	"GO"	"5759"	"mitochondrial matrix "	"15/214"	"80/2150"	7.00934579439252	3.72093023255814	0.0271369564445717	1	1.88376168224299	"SARDH_MOUSE;OAT_MOUSE;RS3_MOUSE;ACADM_MOUSE;DCMC_MOUSE;KAD4_MOUSE;LONM_MOUSE;ETHE1_MOUSE;ECI1_MOUSE;ETFB_MOUSE;ACSM2_MOUSE;ACSM1_MOUSE;AL4A1_MOUSE;THTR_MOUSE;Q8R5L1_MOUSE"
"5481"	"GO top10% PC2"	"GO"	"90023"	"positive regulation of neutrophil chemotaxis "	"3/214"	"5/2150"	1.4018691588785	0.232558139534884	0.0290537090465247	1	6.02803738317757	"RAC2_MOUSE;Q3TLP8_MOUSE;Q8R5L1_MOUSE"
"6831"	"GO top10% PC2"	"GO"	"3684"	"damaged DNA binding "	"3/214"	"5/2150"	1.4018691588785	0.232558139534884	0.0290537090465247	1	6.02803738317757	"PCNA_MOUSE;RS3_MOUSE;HMGB2_MOUSE"
"8991"	"GO top10% PC2"	"GO"	"15643"	"toxic substance binding "	"3/214"	"5/2150"	1.4018691588785	0.232558139534884	0.0290537090465247	1	6.02803738317757	"ALBU_MOUSE;HB2A_MOUSE;CP4B1_MOUSE"
"9161"	"GO top10% PC2"	"GO"	"19395"	"fatty acid oxidation "	"3/214"	"5/2150"	1.4018691588785	0.232558139534884	0.0290537090465247	1	6.02803738317757	"DCMC_MOUSE;HAOX2_MOUSE;ACOX1_MOUSE"
"14210"	"GO top10% PC2"	"GO"	"1726"	"ruffle "	"7/214"	"27/2150"	3.27102803738318	1.25581395348837	0.0291691128706979	1	2.60470751124957	"S10A6_MOUSE;ANXA2_MOUSE;NHRF1_MOUSE;S10AB_MOUSE;MYH9_MOUSE;GELS_MOUSE;VATB2_MOUSE"
"2861"	"GO top10% PC2"	"GO"	"10498"	"proteasomal protein catabolic process "	"4/214"	"11/2150"	1.86915887850467	0.511627906976744	0.0401061199161773	1	3.65335598980459	"PSB4_MOUSE;PSB2_MOUSE;PSA3_MOUSE;PSA5_MOUSE"
"9010"	"GO top10% PC2"	"GO"	"45739"	"positive regulation of DNA repair "	"3/214"	"6/2150"	1.4018691588785	0.27906976744186	0.0407281756605707	1	5.02336448598131	"TIF1B_MOUSE;PCNA_MOUSE;RS3_MOUSE"
"4561"	"GO top10% PC2"	"GO"	"30234"	"enzyme regulator activity "	"3/214"	"6/2150"	1.4018691588785	0.27906976744186	0.0407281756605707	1	5.02336448598131	"PSMD2_MOUSE;PSMD6_MOUSE;GSH0_MOUSE"
"9661"	"GO top10% PC2"	"GO"	"43236"	"laminin binding "	"3/214"	"6/2150"	1.4018691588785	0.27906976744186	0.0407281756605707	1	5.02336448598131	"LEG1_MOUSE;NUCL_MOUSE;Q8C253_MOUSE"
"12601"	"GO top10% PC2"	"GO"	"55088"	"lipid homeostasis "	"3/214"	"6/2150"	1.4018691588785	0.27906976744186	0.0407281756605707	1	5.02336448598131	"APOE_MOUSE;ACOX2_MOUSE;ACOX1_MOUSE"
"5010"	"GO top10% PC2"	"GO"	"30855"	"epithelial cell differentiation "	"5/214"	"17/2150"	2.33644859813084	0.790697674418605	0.0425419049816298	1	2.95492028587136	"CATB_MOUSE;PCNA_MOUSE;BDH2_MOUSE;THTR_MOUSE;Q8C253_MOUSE"
"2551"	"GO top10% PC2"	"GO"	"42981"	"regulation of apoptotic process "	"5/214"	"17/2150"	2.33644859813084	0.790697674418605	0.0425419049816298	1	2.95492028587136	"AN32A_MOUSE;PRDX2_MOUSE;RS3_MOUSE;APOE_MOUSE;CLUS_MOUSE"
"8421"	"GO top10% PC2"	"GO"	"1725"	"stress fiber "	"5/214"	"17/2150"	2.33644859813084	0.790697674418605	0.0425419049816298	1	2.95492028587136	"MYH9_MOUSE;FHOD1_MOUSE;TPM4_MOUSE;D3YV37_MOUSE;Q6ZWQ9_MOUSE"
"5510"	"GO top10% PC2"	"GO"	"6590"	"thyroid hormone generation "	"2/214"	"2/2150"	0.934579439252336	0.0930232558139535	0.0432620920992525	1	10.0467289719626	"CATB_MOUSE;CATL1_MOUSE"
"12710"	"GO top10% PC2"	"GO"	"51246"	"regulation of protein metabolic process "	"2/214"	"2/2150"	0.934579439252336	0.0930232558139535	0.0432620920992525	1	10.0467289719626	"HEMO_MOUSE;APOE_MOUSE"
"15510"	"GO top10% PC2"	"GO"	"48524"	"positive regulation of viral process "	"2/214"	"2/2150"	0.934579439252336	0.0930232558139535	0.0432620920992525	1	10.0467289719626	"STOM_MOUSE;RAB7A_MOUSE"
"17310"	"GO top10% PC2"	"GO"	"1901798"	"positive regulation of signal transduction by p53 class mediator "	"2/214"	"2/2150"	0.934579439252336	0.0930232558139535	0.0432620920992525	1	10.0467289719626	"RL23_MOUSE;RL11_MOUSE"
"1941"	"GO top10% PC2"	"GO"	"1990665"	"AnxA2-p11 complex "	"2/214"	"2/2150"	0.934579439252336	0.0930232558139535	0.0432620920992525	1	10.0467289719626	"S10AA_MOUSE;ANXA2_MOUSE"
"1971"	"GO top10% PC2"	"GO"	"1765"	"membrane raft assembly "	"2/214"	"2/2150"	0.934579439252336	0.0930232558139535	0.0432620920992525	1	10.0467289719626	"S10AA_MOUSE;ANXA2_MOUSE"
"2971"	"GO top10% PC2"	"GO"	"1902255"	"positive regulation of intrinsic apoptotic signaling pathway by p53 class mediator "	"2/214"	"2/2150"	0.934579439252336	0.0930232558139535	0.0432620920992525	1	10.0467289719626	"RL11_MOUSE;RS7_MOUSE"
"3961"	"GO top10% PC2"	"GO"	"7589"	"body fluid secretion "	"2/214"	"2/2150"	0.934579439252336	0.0930232558139535	0.0432620920992525	1	10.0467289719626	"ANXA2_MOUSE;RAB14_MOUSE"
"4161"	"GO top10% PC2"	"GO"	"70181"	"small ribosomal subunit rRNA binding "	"2/214"	"2/2150"	0.934579439252336	0.0930232558139535	0.0432620920992525	1	10.0467289719626	"RS14_MOUSE;RS3_MOUSE"
"5551"	"GO top10% PC2"	"GO"	"60263"	"regulation of respiratory burst "	"2/214"	"2/2150"	0.934579439252336	0.0930232558139535	0.0432620920992525	1	10.0467289719626	"RAC2_MOUSE;Q3TLP8_MOUSE"
"5561"	"GO top10% PC2"	"GO"	"42129"	"regulation of T cell proliferation "	"2/214"	"2/2150"	0.934579439252336	0.0930232558139535	0.0432620920992525	1	10.0467289719626	"RAC2_MOUSE;Q8C253_MOUSE"
"5701"	"GO top10% PC2"	"GO"	"51650"	"establishment of vesicle localization "	"2/214"	"2/2150"	0.934579439252336	0.0930232558139535	0.0432620920992525	1	10.0467289719626	"RAB7A_MOUSE;Q9JHF5_MOUSE"
"5741"	"GO top10% PC2"	"GO"	"90383"	"phagosome acidification "	"2/214"	"2/2150"	0.934579439252336	0.0930232558139535	0.0432620920992525	1	10.0467289719626	"RAB7A_MOUSE;Q9JHF5_MOUSE"
"7301"	"GO top10% PC2"	"GO"	"97100"	"supercoiled DNA binding "	"2/214"	"2/2150"	0.934579439252336	0.0930232558139535	0.0432620920992525	1	10.0467289719626	"RS3_MOUSE;HMGB2_MOUSE"
"7611"	"GO top10% PC2"	"GO"	"45298"	"tubulin complex "	"2/214"	"2/2150"	0.934579439252336	0.0930232558139535	0.0432620920992525	1	10.0467289719626	"TBB5_MOUSE;TBB4B_MOUSE"
"7871"	"GO top10% PC2"	"GO"	"45159"	"myosin II binding "	"2/214"	"2/2150"	0.934579439252336	0.0930232558139535	0.0432620920992525	1	10.0467289719626	"NHRF1_MOUSE;GELS_MOUSE"
"7971"	"GO top10% PC2"	"GO"	"30643"	"cellular phosphate ion homeostasis "	"2/214"	"2/2150"	0.934579439252336	0.0930232558139535	0.0432620920992525	1	10.0467289719626	"NHRF1_MOUSE;UROM_MOUSE"
