"Cluster"	"Ontology_type"	"Ontology_accession"	"Ongology_description"	"Count_query"	"Count_universe"	"%_query"	"%_universe"	"pval"	"adjpval"	"fold_change"	"Proteins_in_query"
"2100"	2	"GO"	"5739"	"mitochondrion "	"202/341"	"452/2150"	59.2375366568915	21.0232558139535	1.86325436135646e-44	3.45447358595487e-41	2.8177146861132	"CHDH_MOUSE;ACOT2_MOUSE;ALDH2_MOUSE;CH10_MOUSE;CLPP_MOUSE;BPHL_MOUSE;AMACR_MOUSE;ATP5E_MOUSE;B2L13_MOUSE;ATPO_MOUSE;SFXN3_MOUSE;PPA6_MOUSE;SDHB_MOUSE;NDUS6_MOUSE;NDUS8_MOUSE;NDUA8_MOUSE;NDUF2_MOUSE;NIT1_MOUSE;RM50_MOUSE;MUTA_MOUSE;HEM6_MOUSE;ISC2A_MOUSE;MPPB_MOUSE;NDUA2_MOUSE;PROD_MOUSE;IPYR2_MOUSE;RM53_MOUSE;IDHC_MOUSE;NDUA4_MOUSE;QCR6_MOUSE;THIM_MOUSE;VATE1_MOUSE;TIM13_MOUSE;QCR1_MOUSE;SUCA_MOUSE;SFXN1_MOUSE;SDHA_MOUSE;THIC_MOUSE;QORL2_MOUSE;SARDH_MOUSE;THIKB_MOUSE;OXSM_MOUSE;NDUBB_MOUSE;ODB2_MOUSE;SSDH_MOUSE;NDUV2_MOUSE;PRDX3_MOUSE;PGES2_MOUSE;MSRB2_MOUSE;ACADM_MOUSE;NDUC2_MOUSE;ODP2_MOUSE;DCMC_MOUSE;IDHP_MOUSE;NIT2_MOUSE;ODPX_MOUSE;NDUB4_MOUSE;NUDT8_MOUSE;ETFA_MOUSE;FUMH_MOUSE;GCST_MOUSE;LYRM4_MOUSE;ODPA_MOUSE;ODBB_MOUSE;ODPB_MOUSE;LETM1_MOUSE;MIRO2_MOUSE;NDUS1_MOUSE;GATM_MOUSE;LACB2_MOUSE;IVD_MOUSE;GRP75_MOUSE;IDHG1_MOUSE;MOT1_MOUSE;CMC2_MOUSE;COX6C_MOUSE;NDUAD_MOUSE;KAD2_MOUSE;3HIDH_MOUSE;HDHD3_MOUSE;MECR_MOUSE;COA6_MOUSE;ISC2B_MOUSE;MIC19_MOUSE;MSRA_MOUSE;NDUS5_MOUSE;NDUA7_MOUSE;NDUA6_MOUSE;MCCA_MOUSE;MITOS_MOUSE;GLNA_MOUSE;AADAT_MOUSE;MIC60_MOUSE;M2OM_MOUSE;F136A_MOUSE;LPPRC_MOUSE;MMSA_MOUSE;ACADS_MOUSE;HMGCL_MOUSE;L2HDH_MOUSE;LDHD_MOUSE;MCEE_MOUSE;MDHM_MOUSE;KAD4_MOUSE;KBL_MOUSE;KEG1_MOUSE;LONM_MOUSE;HCDH_MOUSE;HSDL2_MOUSE;LACTB_MOUSE;KAD3_MOUSE;GPX1_MOUSE;GLYM_MOUSE;GABT_MOUSE;GLRX5_MOUSE;AMPL_MOUSE;ATPA_MOUSE;ATP5J_MOUSE;ETHE1_MOUSE;HINT2_MOUSE;ACOX3_MOUSE;ACADV_MOUSE;HYPDH_MOUSE;FAHD1_MOUSE;GLYAT_MOUSE;AL9A1_MOUSE;AGT2_MOUSE;COQ3_MOUSE;HAOX2_MOUSE;ATPD_MOUSE;EFTU_MOUSE;GAL3A_MOUSE;DHSO_MOUSE;ECHD2_MOUSE;ACO13_MOUSE;ARK72_MOUSE;DECR_MOUSE;DIC_MOUSE;ECHB_MOUSE;F210A_MOUSE;DHRS1_MOUSE;ADRO_MOUSE;C1TC_MOUSE;CISY_MOUSE;TIM8A_MOUSE;EFGM_MOUSE;ECI1_MOUSE;ECHM_MOUSE;ACON_MOUSE;ACSF3_MOUSE;ETFB_MOUSE;ATP5H_MOUSE;DLDH_MOUSE;ACOX1_MOUSE;ATPB_MOUSE;ADX_MOUSE;DHRS4_MOUSE;DNJA3_MOUSE;EFTS_MOUSE;CX6B1_MOUSE;CISD1_MOUSE;DHB8_MOUSE;AASS_MOUSE;CPT2_MOUSE;ACSM2_MOUSE;ACSM1_MOUSE;CH60_MOUSE;ATP5I_MOUSE;CATA_MOUSE;DHB4_MOUSE;COX20_MOUSE;CLYBL_MOUSE;COQ9_MOUSE;ATAD3_MOUSE;CBR4_MOUSE;COX5A_MOUSE;AL4A1_MOUSE;QCR2_MOUSE;SIR5_MOUSE;PCCA_MOUSE;SUCHY_MOUSE;PCKGC_MOUSE;RT36_MOUSE;SUOX_MOUSE;SUCB2_MOUSE;SCIMP_MOUSE;SCOT1_MOUSE;STML2_MOUSE;THIL_MOUSE;TIM9_MOUSE;THIKA_MOUSE;SUCB1_MOUSE;THTM_MOUSE;THTR_MOUSE;TIM16_MOUSE;UCRI_MOUSE;SLIRP_MOUSE;A0A1L1STE6_MOUSE;F7ARZ1_MOUSE;Z4YK42_MOUSE;Q91VA7_MOUSE;A0A0A0MQ68_MOUSE"
"1855"	2	"GO"	"5743"	"mitochondrial inner membrane "	"73/341"	"149/2150"	21.4076246334311	6.93023255813953	8.97652963650974e-15	1.66424859460891e-11	3.08901966187093	"CHDH_MOUSE;ATP5E_MOUSE;TIM29_MOUSE;SDHB_MOUSE;NDUA8_MOUSE;HEM6_MOUSE;MPPB_MOUSE;PROD_MOUSE;NDUA4_MOUSE;QCR6_MOUSE;THIM_MOUSE;TIM13_MOUSE;QCR1_MOUSE;SUCA_MOUSE;SFXN1_MOUSE;SDHA_MOUSE;NDUC2_MOUSE;IDHP_MOUSE;NDUB4_MOUSE;ODBB_MOUSE;LETM1_MOUSE;MIRO2_MOUSE;GATM_MOUSE;CMC2_MOUSE;COX6C_MOUSE;NDUAD_MOUSE;KAD2_MOUSE;MIC19_MOUSE;MCCA_MOUSE;MITOS_MOUSE;MIC60_MOUSE;M2OM_MOUSE;HMGCL_MOUSE;LDHD_MOUSE;MDHM_MOUSE;KBL_MOUSE;HCDH_MOUSE;GLYM_MOUSE;ATPA_MOUSE;ATP5J_MOUSE;ACADV_MOUSE;HYPDH_MOUSE;FAHD1_MOUSE;ATPD_MOUSE;EFTU_MOUSE;DIC_MOUSE;ECHB_MOUSE;DHRS1_MOUSE;ADRO_MOUSE;TIM8A_MOUSE;ECI1_MOUSE;ATP5H_MOUSE;ATPB_MOUSE;CX6B1_MOUSE;CPT2_MOUSE;CH60_MOUSE;COX20_MOUSE;COQ9_MOUSE;ATAD3_MOUSE;COX5A_MOUSE;QCR2_MOUSE;SIR5_MOUSE;SIM20_MOUSE;STML2_MOUSE;THIL_MOUSE;TIM9_MOUSE;THTM_MOUSE;THTR_MOUSE;TIM16_MOUSE;UCRI_MOUSE;A0A0U1RP81_MOUSE;A0A0A6YVR9_MOUSE;D3YUM1_MOUSE"
"6100"	2	"GO"	"5759"	"mitochondrial matrix "	"48/341"	"80/2150"	14.0762463343109	3.72093023255814	2.89973736763654e-12	5.37611307959814e-09	3.78299120234604	"ACOT2_MOUSE;ALDH2_MOUSE;CH10_MOUSE;CLPP_MOUSE;MUTA_MOUSE;PROD_MOUSE;THIM_MOUSE;SARDH_MOUSE;ACADM_MOUSE;DCMC_MOUSE;ODPX_MOUSE;LACB2_MOUSE;IVD_MOUSE;GRP75_MOUSE;MCCA_MOUSE;ACADS_MOUSE;HMGCL_MOUSE;MDHM_MOUSE;KAD4_MOUSE;LONM_MOUSE;HCDH_MOUSE;KAD3_MOUSE;GLYM_MOUSE;GABT_MOUSE;GLRX5_MOUSE;ETHE1_MOUSE;ACSM5_MOUSE;CISY_MOUSE;ECI1_MOUSE;ECHM_MOUSE;ETFB_MOUSE;DLDH_MOUSE;ADX_MOUSE;DNJA3_MOUSE;EFTS_MOUSE;DHB8_MOUSE;ACSM2_MOUSE;ACSM1_MOUSE;CH60_MOUSE;CBR4_MOUSE;AL4A1_MOUSE;SIR5_MOUSE;PCCA_MOUSE;SCOT1_MOUSE;THIL_MOUSE;THTR_MOUSE;TIM16_MOUSE;A0A0R4J083_MOUSE"
"11010"	2	"GO"	"6099"	"tricarboxylic acid cycle "	"18/341"	"21/2150"	5.27859237536657	0.976744186046512	7.43959475901394e-07	0.00137930086832119	5.40427314620863	"SDHB_MOUSE;IDHC_MOUSE;SUCA_MOUSE;SDHA_MOUSE;ODP2_MOUSE;IDHP_MOUSE;FUMH_MOUSE;ODPA_MOUSE;ODPB_MOUSE;IDHG1_MOUSE;MDHM_MOUSE;CISY_MOUSE;ACON_MOUSE;SUCB2_MOUSE;SUCB1_MOUSE;Z4YJV4_MOUSE;A0A1L1STE6_MOUSE;Q91VA7_MOUSE"
"2701"	2	"GO"	"6635"	"fatty acid beta-oxidation "	"19/341"	"26/2150"	5.57184750733138	1.2093023255814	1.96054110194572e-06	0.00363484320300737	4.60748928490864	"THIM_MOUSE;THIC_MOUSE;THIKB_MOUSE;ACADM_MOUSE;HCDH_MOUSE;ACOX3_MOUSE;ACADV_MOUSE;ACOX2_MOUSE;ECHD2_MOUSE;DECR_MOUSE;ECHB_MOUSE;ECI1_MOUSE;ECHM_MOUSE;ACOX1_MOUSE;CPT2_MOUSE;DHB4_MOUSE;BDH2_MOUSE;THIL_MOUSE;THIKA_MOUSE"
"4100"	2	"GO"	"50660"	"flavin adenine dinucleotide binding "	"19/341"	"30/2150"	5.57184750733138	1.3953488372093	8.94467102704911e-06	0.016583420084149	3.99315738025415	"CHDH_MOUSE;SDHA_MOUSE;SARDH_MOUSE;ACADM_MOUSE;ETFA_MOUSE;IVD_MOUSE;ACADS_MOUSE;LDHD_MOUSE;ACOX3_MOUSE;ACADV_MOUSE;ACOX2_MOUSE;FMO1_MOUSE;DLDH_MOUSE;ACOX1_MOUSE;A0A0R4J083_MOUSE;B1AU25_MOUSE;D3YTT4_MOUSE;A0A0R4J0I6_MOUSE;A0A0A0MQ68_MOUSE"
"14110"	2	"GO"	"5747"	"mitochondrial respiratory chain complex I "	"17/341"	"29/2150"	4.98533724340176	1.34883720930233	5.58570865934226e-05	0.103559038544205	3.69602588734958	"NDUS6_MOUSE;NDUS8_MOUSE;NDUA8_MOUSE;NDUA2_MOUSE;NDUA4_MOUSE;NDUBB_MOUSE;NDUV2_MOUSE;NDUC2_MOUSE;NDUB4_MOUSE;NDUS1_MOUSE;NDUAD_MOUSE;NDUS5_MOUSE;NDUA7_MOUSE;NDUA6_MOUSE;A0A0R4J275_MOUSE;E9QPX3_MOUSE;Q3U422_MOUSE"
"7010"	2	"GO"	"31966"	"mitochondrial membrane "	"16/341"	"26/2150"	4.69208211143695	1.2093023255814	6.04119877764358e-05	0.112003825337512	3.87999097676517	"B2L13_MOUSE;SFXN3_MOUSE;SDHB_MOUSE;NDUA2_MOUSE;ACADM_MOUSE;IVD_MOUSE;NDUAD_MOUSE;NDUA6_MOUSE;MITOS_MOUSE;ACADS_MOUSE;ACADV_MOUSE;DHSO_MOUSE;ATPB_MOUSE;UCRI_MOUSE;A0A0R4J083_MOUSE;A0A0R4J0I6_MOUSE"
"9010"	2	"GO"	"5758"	"mitochondrial intermembrane space "	"17/341"	"31/2150"	4.98533724340176	1.44186046511628	0.000104211010983093	0.193207214362655	3.45757260429477	"TIM29_MOUSE;NDUA8_MOUSE;HEM6_MOUSE;NDUS1_MOUSE;GATM_MOUSE;KAD2_MOUSE;COA6_MOUSE;NDUS5_MOUSE;MIC60_MOUSE;KAD3_MOUSE;GLYM_MOUSE;TIM8A_MOUSE;CATA_MOUSE;SIR5_MOUSE;SUOX_MOUSE;STML2_MOUSE;H7BX01_MOUSE"
"2010"	2	"GO"	"51287"	"NAD binding "	"15/341"	"26/2150"	4.39882697947214	1.2093023255814	0.000176280606444718	0.326824244348507	3.63749154071735	"ALDH2_MOUSE;IDHC_MOUSE;SSDH_MOUSE;IDHP_MOUSE;GRHPR_MOUSE;IDHG1_MOUSE;3HIDH_MOUSE;AL9A1_MOUSE;DHSO_MOUSE;DLDH_MOUSE;BDH2_MOUSE;A0A1L1STE6_MOUSE;E0CXN5_MOUSE;D3YUM1_MOUSE;Q91VA7_MOUSE"
"15110"	2	"GO"	"8137"	"NADH dehydrogenase (ubiquinone) activity "	"12/341"	"17/2150"	3.51906158357771	0.790697674418605	0.000207093739471948	0.383951792980991	4.45057788511299	"NDUS8_MOUSE;NDUF2_MOUSE;NDUA2_MOUSE;NDUV2_MOUSE;NDUC2_MOUSE;NDUB4_MOUSE;NDUS1_MOUSE;NDUAD_MOUSE;NDUA7_MOUSE;A0A0R4J275_MOUSE;D3YUM1_MOUSE;E9QPX3_MOUSE"
"5211"	2	"GO"	"33539"	"fatty acid beta-oxidation using acyl-CoA dehydrogenase "	"9/341"	"9/2150"	2.63929618768328	0.418604651162791	0.000236536773616648	0.438539178285266	6.3049853372434	"ACADM_MOUSE;ETFA_MOUSE;IVD_MOUSE;ACADS_MOUSE;ACADV_MOUSE;ETFB_MOUSE;A0A0R4J083_MOUSE;A0A0R4J0I6_MOUSE;A0A0A0MQ68_MOUSE"
"8110"	2	"GO"	"46034"	"ATP metabolic process "	"12/341"	"19/2150"	3.51906158357771	0.883720930232558	0.000434955155634853	0.806406858547017	3.98209600246952	"ATPO_MOUSE;NDUS1_MOUSE;KAD2_MOUSE;KAD4_MOUSE;KAD3_MOUSE;ATPA_MOUSE;ATP5J_MOUSE;ATPD_MOUSE;ATP5H_MOUSE;ATPB_MOUSE;ATP5I_MOUSE;VATB2_MOUSE"
"4601"	2	"GO"	"42645"	"mitochondrial nucleoid "	"11/341"	"16/2150"	3.2258064516129	0.744186046511628	0.000450665672055758	0.835534155991375	4.33467741935484	"ODB2_MOUSE;GRP75_MOUSE;LPPRC_MOUSE;LONM_MOUSE;GLYM_MOUSE;ACADV_MOUSE;EFTU_MOUSE;ECHB_MOUSE;ATPB_MOUSE;DNJA3_MOUSE;ATAD3_MOUSE"
"10110"	2	"GO"	"51537"	"2 iron, 2 sulfur cluster binding "	"8/341"	"8/2150"	2.34604105571848	0.372093023255814	0.000536638202649556	0.994927227712277	6.3049853372434	"SDHB_MOUSE;NDUV2_MOUSE;NDUS1_MOUSE;GLRX5_MOUSE;ADX_MOUSE;CISD1_MOUSE;UCRI_MOUSE;Z4YKM2_MOUSE"
"5810"	2	"GO"	"46933"	"proton-transporting ATP synthase activity, rotational mechanism "	"9/341"	"11/2150"	2.63929618768328	0.511627906976744	0.000634201542546891	1	5.15862436683551	"ATP5E_MOUSE;ATPO_MOUSE;ATPA_MOUSE;ATP5J_MOUSE;ATPD_MOUSE;ATP5H_MOUSE;ATPB_MOUSE;ATP5I_MOUSE;Q8C2Q8_MOUSE"
"4751"	2	"GO"	"6629"	"lipid metabolic process "	"10/341"	"14/2150"	2.93255131964809	0.651162790697674	0.000666257503015865	1	4.50356095517386	"ST1D1_MOUSE;MOT1_MOUSE;HMGCL_MOUSE;LACTB_MOUSE;GPX1_MOUSE;ATPA_MOUSE;ACOX1_MOUSE;ATPB_MOUSE;PCKGC_MOUSE;D3YTT4_MOUSE"
"2261"	2	"GO"	"71949"	"FAD binding "	"9/341"	"12/2150"	2.63929618768328	0.558139534883721	0.000978033952923868	1	4.72873900293255	"PROD_MOUSE;LDHD_MOUSE;ACOX3_MOUSE;HYPDH_MOUSE;ACOX2_MOUSE;ACOX1_MOUSE;A0A0R4J203_MOUSE;Q3V0K6_MOUSE;A2AL50_MOUSE"
"3861"	2	"GO"	"6633"	"fatty acid biosynthetic process "	"9/341"	"12/2150"	2.63929618768328	0.558139534883721	0.000978033952923868	1	4.72873900293255	"OXSM_MOUSE;DCMC_MOUSE;MECR_MOUSE;ACSM5_MOUSE;ACSF3_MOUSE;DHB8_MOUSE;ACSM2_MOUSE;ACSM1_MOUSE;CBR4_MOUSE"
"6010"	2	"GO"	"42776"	"mitochondrial ATP synthesis coupled proton transport "	"9/341"	"13/2150"	2.63929618768328	0.604651162790698	0.00145882989482604	1	4.36498984886082	"ATP5E_MOUSE;ATPO_MOUSE;ATPA_MOUSE;ATP5J_MOUSE;ATPD_MOUSE;ATP5H_MOUSE;ATPB_MOUSE;ATP5I_MOUSE;STML2_MOUSE"
"4710"	2	"GO"	"5777"	"peroxisome "	"17/341"	"41/2150"	4.98533724340176	1.90697674418605	0.00148563462760745	1	2.61426221300336	"AMACR_MOUSE;IDHC_MOUSE;THIKB_MOUSE;DCMC_MOUSE;IDHP_MOUSE;HMGCL_MOUSE;HSDL2_MOUSE;ACOX3_MOUSE;ACOX2_MOUSE;HAOX2_MOUSE;ACOX1_MOUSE;DHRS4_MOUSE;CATA_MOUSE;DHB4_MOUSE;THIKA_MOUSE;A0A0R4J0I6_MOUSE;A2AL50_MOUSE"
"14510"	2	"GO"	"32981"	"mitochondrial respiratory chain complex I assembly "	"12/341"	"23/2150"	3.51906158357771	1.06976744186047	0.0015363513465301	1	3.28955756725743	"NDUS6_MOUSE;NDUS8_MOUSE;NDUA8_MOUSE;NDUA2_MOUSE;NDUBB_MOUSE;NDUC2_MOUSE;NDUB4_MOUSE;NDUAD_MOUSE;NDUS5_MOUSE;NDUA6_MOUSE;A2AJX3_MOUSE;E9QPX3_MOUSE"
"10410"	2	"GO"	"9055"	"electron transfer activity "	"10/341"	"17/2150"	2.93255131964809	0.790697674418605	0.00195655473367806	1	3.70881490426082	"SDHB_MOUSE;NDUF2_MOUSE;SDHA_MOUSE;PGES2_MOUSE;ETFA_MOUSE;NDUS1_MOUSE;GLRX5_MOUSE;ETFB_MOUSE;ADX_MOUSE;A0A0R4J275_MOUSE"
"10910"	2	"GO"	"6105"	"succinate metabolic process "	"6/341"	"6/2150"	1.75953079178886	0.27906976744186	0.00280927234755274	1	6.3049853372434	"SDHB_MOUSE;SUCA_MOUSE;SDHA_MOUSE;SSDH_MOUSE;SUCB2_MOUSE;SUCB1_MOUSE"
"2551"	2	"GO"	"6102"	"isocitrate metabolic process "	"6/341"	"6/2150"	1.75953079178886	0.27906976744186	0.00280927234755274	1	6.3049853372434	"IDHC_MOUSE;IDHP_MOUSE;IDHG1_MOUSE;ACON_MOUSE;A0A0U1RP68_MOUSE;Q91VA7_MOUSE"
"3421"	2	"GO"	"16491"	"oxidoreductase activity "	"14/341"	"31/2150"	4.10557184750733	1.44186046511628	0.00310542024074222	1	2.84741273294863	"SDHA_MOUSE;QORL2_MOUSE;SARDH_MOUSE;ETFA_MOUSE;HSDL2_MOUSE;AK1A1_MOUSE;DHRS1_MOUSE;ADRO_MOUSE;D39U1_MOUSE;UCRI_MOUSE;B1AU25_MOUSE;A0A494BA58_MOUSE;A0A087WRE7_MOUSE;A2AL50_MOUSE"
"14410"	2	"GO"	"6120"	"mitochondrial electron transport, NADH to ubiquinone "	"8/341"	"12/2150"	2.34604105571848	0.558139534883721	0.00318661511147148	1	4.20332355816227	"NDUS6_MOUSE;NDUS8_MOUSE;NDUA8_MOUSE;NDUV2_MOUSE;NDUC2_MOUSE;NDUA7_MOUSE;DLDH_MOUSE;COQ9_MOUSE"
"3461"	2	"GO"	"55114"	"oxidation-reduction process "	"14/341"	"32/2150"	4.10557184750733	1.48837209302326	0.00341960788226496	1	2.75843108504399	"SDHA_MOUSE;NDUBB_MOUSE;SSDH_MOUSE;ACADM_MOUSE;GRHPR_MOUSE;NDUS5_MOUSE;NDUA6_MOUSE;CP2J5_MOUSE;AL9A1_MOUSE;DCXR_MOUSE;DHRS4_MOUSE;DHB8_MOUSE;CBR4_MOUSE;QCR2_MOUSE"
"5510"	2	"GO"	"5753"	"mitochondrial proton-transporting ATP synthase complex "	"8/341"	"13/2150"	2.34604105571848	0.604651162790698	0.00454574197827	1	3.87999097676517	"ATP5E_MOUSE;ATPO_MOUSE;ATPA_MOUSE;ATP5J_MOUSE;ATPD_MOUSE;ATP5H_MOUSE;ATPB_MOUSE;ATP5I_MOUSE"
"2511"	2	"GO"	"6103"	"2-oxoglutarate metabolic process "	"7/341"	"10/2150"	2.05278592375367	0.465116279069767	0.00479353786943243	1	4.41348973607038	"IDHC_MOUSE;IDHP_MOUSE;IDHG1_MOUSE;AADAT_MOUSE;DLDH_MOUSE;RT36_MOUSE;Q91VA7_MOUSE"
"2651"	2	"GO"	"3985"	"acetyl-CoA C-acetyltransferase activity "	"5/341"	"5/2150"	1.46627565982405	0.232558139534884	0.00651449027608002	1	6.3049853372434	"THIM_MOUSE;THIC_MOUSE;THIKB_MOUSE;THIL_MOUSE;THIKA_MOUSE"
"5301"	2	"GO"	"42594"	"response to starvation "	"5/341"	"5/2150"	1.46627565982405	0.232558139534884	0.00651449027608002	1	6.3049853372434	"ACADM_MOUSE;HMGCL_MOUSE;PCKGC_MOUSE;SCOT1_MOUSE;THIL_MOUSE"
"5371"	2	"GO"	"45254"	"pyruvate dehydrogenase complex "	"5/341"	"5/2150"	1.46627565982405	0.232558139534884	0.00651449027608002	1	6.3049853372434	"ODP2_MOUSE;ODPX_MOUSE;ODPA_MOUSE;ODPB_MOUSE;DLDH_MOUSE"
"5391"	2	"GO"	"34604"	"pyruvate dehydrogenase (NAD+) activity "	"5/341"	"5/2150"	1.46627565982405	0.232558139534884	0.00651449027608002	1	6.3049853372434	"ODP2_MOUSE;ODPX_MOUSE;ODPA_MOUSE;ODPB_MOUSE;DLDH_MOUSE"
"3271"	2	"GO"	"14823"	"response to activity "	"7/341"	"11/2150"	2.05278592375367	0.511627906976744	0.00694002252168328	1	4.01226339642762	"QCR1_MOUSE;GSH0_MOUSE;HCDH_MOUSE;CH60_MOUSE;CATA_MOUSE;PCKGC_MOUSE;SCOT1_MOUSE"
"2661"	2	"GO"	"3988"	"acetyl-CoA C-acyltransferase activity "	"6/341"	"8/2150"	1.75953079178886	0.372093023255814	0.0071740561514943	1	4.72873900293255	"THIM_MOUSE;THIC_MOUSE;THIKB_MOUSE;ECHB_MOUSE;THIL_MOUSE;THIKA_MOUSE"
"7510"	2	"GO"	"43209"	"myelin sheath "	"27/341"	"95/2150"	7.91788856304985	4.41860465116279	0.00954378926675429	1	1.79194320111128	"ATPO_MOUSE;QCR1_MOUSE;SDHA_MOUSE;NDRG1_MOUSE;NDUV2_MOUSE;PRDX3_MOUSE;ODP2_MOUSE;ODPA_MOUSE;NDUS1_MOUSE;GRP75_MOUSE;GLNA_MOUSE;MIC60_MOUSE;AT1A1_MOUSE;MDHM_MOUSE;ATPA_MOUSE;EFTU_MOUSE;ACON_MOUSE;ATP5H_MOUSE;DLDH_MOUSE;ATPB_MOUSE;CH60_MOUSE;COX5A_MOUSE;QCR2_MOUSE;VATB2_MOUSE;RADI_MOUSE;SUCB1_MOUSE;UCRI_MOUSE"
"2301"	2	"GO"	"287"	"magnesium ion binding "	"12/341"	"32/2150"	3.51906158357771	1.48837209302326	0.0137263476556485	1	2.36436950146628	"IPYR2_MOUSE;IDHC_MOUSE;IDHP_MOUSE;IDHG1_MOUSE;GLNA_MOUSE;HMGCL_MOUSE;CLYBL_MOUSE;PCKGC_MOUSE;SUCB2_MOUSE;SUCB1_MOUSE;A0A1L1STE6_MOUSE;Q91VA7_MOUSE"
"10310"	2	"GO"	"51539"	"4 iron, 4 sulfur cluster binding "	"6/341"	"10/2150"	1.75953079178886	0.465116279069767	0.0150548275371286	1	3.78299120234604	"SDHB_MOUSE;NDUS8_MOUSE;NDUS1_MOUSE;ACON_MOUSE;Q6PF96_MOUSE;D3YUM1_MOUSE"
"10710"	2	"GO"	"9060"	"aerobic respiration "	"6/341"	"10/2150"	1.75953079178886	0.465116279069767	0.0150548275371286	1	3.78299120234604	"SDHB_MOUSE;NDUS8_MOUSE;QCR6_MOUSE;MDHM_MOUSE;ATPD_MOUSE;CATA_MOUSE"
"5610"	2	"GO"	"275"	"mitochondrial proton-transporting ATP synthase complex, catalytic core F(1) "	"4/341"	"4/2150"	1.17302052785924	0.186046511627907	0.0153316105924161	1	6.3049853372434	"ATP5E_MOUSE;ATPA_MOUSE;ATPD_MOUSE;ATPB_MOUSE"
"17810"	2	"GO"	"45333"	"cellular respiration "	"4/341"	"4/2150"	1.17302052785924	0.186046511627907	0.0153316105924161	1	6.3049853372434	"NDUF2_MOUSE;NDUS1_MOUSE;CMC2_MOUSE;E9QPX3_MOUSE"
"5401"	2	"GO"	"6086"	"acetyl-CoA biosynthetic process from pyruvate "	"4/341"	"4/2150"	1.17302052785924	0.186046511627907	0.0153316105924161	1	6.3049853372434	"ODP2_MOUSE;ODPA_MOUSE;ODPB_MOUSE;DLDH_MOUSE"
"1107"	2	"GO"	"45261"	"proton-transporting ATP synthase complex, catalytic core F(1) "	"4/341"	"4/2150"	1.17302052785924	0.186046511627907	0.0153316105924161	1	6.3049853372434	"ATPA_MOUSE;ATPD_MOUSE;ATPB_MOUSE;Q8C2Q8_MOUSE"
"8010"	2	"GO"	"6754"	"ATP biosynthetic process "	"5/341"	"7/2150"	1.46627565982405	0.325581395348837	0.0162025495629646	1	4.50356095517386	"ATPO_MOUSE;CMC2_MOUSE;LDHD_MOUSE;ATPA_MOUSE;ATPB_MOUSE"
"10810"	2	"GO"	"22904"	"respiratory electron transport chain "	"5/341"	"7/2150"	1.46627565982405	0.325581395348837	0.0162025495629646	1	4.50356095517386	"SDHB_MOUSE;NDUS6_MOUSE;NDUF2_MOUSE;SDHA_MOUSE;NDUV2_MOUSE"
"5421"	2	"GO"	"61732"	"mitochondrial acetyl-CoA biosynthetic process from pyruvate "	"5/341"	"7/2150"	1.46627565982405	0.325581395348837	0.0162025495629646	1	4.50356095517386	"ODP2_MOUSE;ODPX_MOUSE;ODPA_MOUSE;ODPB_MOUSE;DLDH_MOUSE"
"1233"	2	"GO"	"4300"	"enoyl-CoA hydratase activity "	"5/341"	"7/2150"	1.46627565982405	0.325581395348837	0.0162025495629646	1	4.50356095517386	"ECHD2_MOUSE;ECI1_MOUSE;ECHM_MOUSE;DHB4_MOUSE;A0A0R4J023_MOUSE"
"4891"	2	"GO"	"7005"	"mitochondrion organization "	"7/341"	"14/2150"	2.05278592375367	0.651162790697674	0.0175958014448056	1	3.1524926686217	"PRDX3_MOUSE;MIRO2_MOUSE;HMGCL_MOUSE;LONM_MOUSE;DNJA3_MOUSE;ATAD3_MOUSE;STML2_MOUSE"
"5141"	2	"GO"	"62"	"fatty-acyl-CoA binding "	"7/341"	"14/2150"	2.05278592375367	0.651162790697674	0.0175958014448056	1	3.1524926686217	"ACADM_MOUSE;ACADS_MOUSE;HMGCL_MOUSE;ACADV_MOUSE;A0A0R4J083_MOUSE;Q3TCD4_MOUSE;A0A0A0MQ68_MOUSE"
"1119"	2	"GO"	"5506"	"iron ion binding "	"7/341"	"14/2150"	2.05278592375367	0.651162790697674	0.0175958014448056	1	3.1524926686217	"ETHE1_MOUSE;CP2J5_MOUSE;ACON_MOUSE;CP4B1_MOUSE;ADX_MOUSE;CISD1_MOUSE;Q0PGA1_MOUSE"
"6041"	2	"GO"	"7584"	"response to nutrient "	"6/341"	"11/2150"	1.75953079178886	0.511627906976744	0.0206518946285991	1	3.43908291122367	"ODBB_MOUSE;GATM_MOUSE;GSH0_MOUSE;HMGCL_MOUSE;SUOX_MOUSE;SCOT1_MOUSE"
"5910"	2	"GO"	"15986"	"ATP synthesis coupled proton transport "	"5/341"	"8/2150"	1.46627565982405	0.372093023255814	0.023439239671292	1	3.94061583577713	"ATP5E_MOUSE;ATPA_MOUSE;ATPD_MOUSE;ATP5H_MOUSE;Q8C2Q8_MOUSE"
"1856"	2	"GO"	"70402"	"NADPH binding "	"5/341"	"8/2150"	1.46627565982405	0.372093023255814	0.023439239671292	1	3.94061583577713	"QOR_MOUSE;GRHPR_MOUSE;DECR_MOUSE;ADRO_MOUSE;CBR4_MOUSE"
"2601"	2	"GO"	"5751"	"mitochondrial respiratory chain complex IV "	"5/341"	"8/2150"	1.46627565982405	0.372093023255814	0.023439239671292	1	3.94061583577713	"NDUA4_MOUSE;COX5A_MOUSE;QCR2_MOUSE;UCRI_MOUSE;Q9DCW5_MOUSE"
